trafficlevelclass,roadside_environment,year,month,week,weekday,time,daylight,deceased,serious_injuries,minor_injuries,totally_injured,vehicles_involved,roadway_type,atmospheric_conditions,road_surface_conditions,lane_direction_marking,lane_divider,left_edge_line,right_edge_line,left_barrier,right_barrier,road_width,straighness,road_narrowness,right_turn,left_turn,sequential_turns,road_gradient,vehicle_type,vehicle_year,mechanical_check,gender,age_class,severity,blackspot
1.0,2.0,2014.0,7.0,31.0,4.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1999.0,1.0,2.0,2.0,3.0,0
1.0,2.0,2015.0,12.0,52.0,1.0,14.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2006.0,1.0,1.0,3.0,3.0,0
1.0,2.0,2018.0,3.0,12.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2016.0,9.0,1.0,2.0,3.0,0
1.0,2.0,2016.0,1.0,1.0,5.0,18.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1989.0,1.0,1.0,3.0,3.0,0
1.0,1.0,2017.0,10.0,42.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2001.0,2.0,1.0,2.0,3.0,0
1.0,2.0,2015.0,5.0,20.0,5.0,23.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2001.0,9.0,1.0,1.0,3.0,1
1.0,1.0,2016.0,8.0,34.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2008.0,9.0,1.0,2.0,3.0,1
1.0,2.0,2014.0,5.0,18.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2000.0,9.0,1.0,1.0,2.0,0
1.0,2.0,2018.0,6.0,23.0,1.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2004.0,1.0,1.0,2.0,0.0,1
1.0,2.0,2017.0,5.0,18.0,6.0,23.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,1.0,1.0,0.0,1
1.0,2.0,2014.0,5.0,21.0,7.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2013.0,3.0,1.0,2.0,3.0,0
1.0,2.0,2018.0,8.0,35.0,2.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,8.5,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2005.0,1.0,1.0,2.0,2.0,1
1.0,1.0,2015.0,5.0,21.0,1.0,19.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2008.0,1.0,1.0,2.0,0.0,1
